Date,Open,High,Low,Close,Volume
2025-06-01,99.9873,100.0873,99.8873,99.9873,1000000
2025-06-02,100.3957,100.4961,100.2953,100.3957,1000000
2025-06-03,100.6834,100.7841,100.5828,100.6834,1000000
2025-06-04,100.9649,101.0659,100.864,100.9649,1000000
2025-06-05,101.6086,101.7102,101.507,101.6086,1000000
2025-06-06,101.1085,101.2096,101.0073,101.1085,1000000
2025-06-07,100.8448,100.9456,100.7439,100.8448,1000000
2025-06-08,100.302,100.4023,100.2017,100.302,1000000
2025-06-09,100.2487,100.349,100.1485,100.2487,1000000
2025-06-10,100.6392,100.7398,100.5385,100.6392,1000000
2025-06-11,100.6203,100.7209,100.5197,100.6203,1000000
2025-06-12,100.8098,100.9106,100.709,100.8098,1000000
2025-06-13,100.0292,100.1293,99.9292,100.0292,1000000
2025-06-14,100.0781,100.1781,99.978,100.0781,1000000
2025-06-15,99.705,99.8047,99.6053,99.705,1000000
2025-06-16,100.4031,100.5035,100.3027,100.4031,1000000
2025-06-17,100.7492,100.85,100.6485,100.7492,1000000
2025-06-18,101.1217,101.2229,101.0206,101.1217,1000000
2025-06-19,101.0882,101.1893,100.9871,101.0882,1000000
2025-06-20,101.3259,101.4272,101.2246,101.3259,1000000
2025-06-21,101.5824,101.684,101.4809,101.5824,1000000
2025-06-22,101.4323,101.5338,101.3309,101.4323,1000000
2025-06-23,101.2204,101.3216,101.1192,101.2204,1000000
2025-06-24,101.1638,101.265,101.0626,101.1638,1000000
2025-06-25,100.9087,101.0096,100.8078,100.9087,1000000
2025-06-26,100.6587,100.7594,100.558,100.6587,1000000
2025-06-27,100.5345,100.6351,100.434,100.5345,1000000
2025-06-28,100.2316,100.3318,100.1313,100.2316,1000000
2025-06-29,100.5288,100.6293,100.4282,100.5288,1000000
2025-06-30,99.8769,99.9768,99.777,99.8769,1000000
2025-07-01,100.1959,100.2961,100.0957,100.1959,1000000
2025-07-02,99.9352,100.0351,99.8353,99.9352,1000000
2025-07-03,99.707,99.8067,99.6073,99.707,1000000
2025-07-04,99.1583,99.2574,99.0591,99.1583,1000000
2025-07-05,99.0911,99.1902,98.992,99.0911,1000000
2025-07-06,98.9831,99.082,98.8841,98.9831,1000000
2025-07-07,99.049,99.148,98.9499,99.049,1000000
2025-07-08,98.8276,98.9264,98.7287,98.8276,1000000
2025-07-09,98.8548,98.9536,98.7559,98.8548,1000000
2025-07-10,99.5644,99.664,99.4648,99.5644,1000000
2025-07-11,99.7173,99.8171,99.6176,99.7173,1000000
2025-07-12,99.4785,99.578,99.3791,99.4785,1000000
2025-07-13,99.8478,99.9477,99.748,99.8478,1000000
2025-07-14,99.7864,99.8862,99.6866,99.7864,1000000
2025-07-15,100.0135,100.1135,99.9135,100.0135,1000000
2025-07-16,100.2486,100.3489,100.1484,100.2486,1000000
2025-07-17,100.0818,100.1819,99.9817,100.0818,1000000
2025-07-18,99.299,99.3983,99.1997,99.299,1000000
2025-07-19,99.151,99.2502,99.0519,99.151,1000000
2025-07-20,99.3598,99.4592,99.2604,99.3598,1000000
2025-07-21,99.1988,99.298,99.0996,99.1988,1000000
2025-07-22,99.3631,99.4624,99.2637,99.3631,1000000
2025-07-23,99.7424,99.8422,99.6427,99.7424,1000000
2025-07-24,99.5154,99.6149,99.4159,99.5154,1000000
2025-07-25,99.9956,100.0956,99.8956,99.9956,1000000
2025-07-26,100.6343,100.7349,100.5336,100.6343,1000000
2025-07-27,101.0586,101.1596,100.9575,101.0586,1000000
2025-07-28,101.5196,101.6211,101.4181,101.5196,1000000
2025-07-29,101.9548,102.0568,101.8529,101.9548,1000000
2025-07-30,102.8641,102.9669,102.7612,102.8641,1000000
2025-07-31,102.9303,103.0332,102.8273,102.9303,1000000
2025-08-01,102.9208,103.0237,102.8179,102.9208,1000000
2025-08-02,103.1588,103.262,103.0557,103.1588,1000000
2025-08-03,102.7737,102.8765,102.671,102.7737,1000000
2025-08-04,102.125,102.2271,102.0228,102.125,1000000
2025-08-05,101.7545,101.8562,101.6527,101.7545,1000000
2025-08-06,101.8959,101.9978,101.794,101.8959,1000000
2025-08-07,102.0785,102.1806,101.9765,102.0785,1000000
2025-08-08,101.441,101.5425,101.3396,101.441,1000000
2025-08-09,100.6666,100.7673,100.566,100.6666,1000000
2025-08-10,100.5293,100.6298,100.4287,100.5293,1000000
2025-08-11,100.4436,100.544,100.3431,100.4436,1000000
2025-08-12,100.4138,100.5142,100.3134,100.4138,1000000
2025-08-13,100.6734,100.7741,100.5727,100.6734,1000000
2025-08-14,101.1582,101.2593,101.057,101.1582,1000000
2025-08-15,101.2415,101.3427,101.1402,101.2415,1000000
2025-08-16,101.4795,101.5809,101.378,101.4795,1000000
2025-08-17,101.0248,101.1258,100.9237,101.0248,1000000
2025-08-18,100.5393,100.6398,100.4388,100.5393,1000000
2025-08-19,100.6243,100.7249,100.5236,100.6243,1000000
2025-08-20,100.8817,100.9826,100.7808,100.8817,1000000
2025-08-21,101.1647,101.2659,101.0635,101.1647,1000000
