Date,Open,High,Low,Close,Volume
2025-06-01,150.0,150.15,149.85,150.0,1000000
2025-06-02,150.0055,150.1555,149.8555,150.0055,1000000
2025-06-03,151.3551,151.5065,151.2038,151.3551,1000000
2025-06-04,149.9131,150.063,149.7632,149.9131,1000000
2025-06-05,145.9735,146.1195,145.8275,145.9735,1000000
2025-06-06,144.5848,144.7294,144.4402,144.5848,1000000
2025-06-07,141.1231,141.2642,140.9819,141.1231,1000000
2025-06-08,142.6775,142.8202,142.5349,142.6775,1000000
2025-06-09,149.6502,149.7999,149.5006,149.6502,1000000
2025-06-10,147.5083,147.6559,147.3608,147.5083,1000000
2025-06-11,145.1522,145.2974,145.0071,145.1522,1000000
2025-06-12,148.0287,148.1767,147.8807,148.0287,1000000
2025-06-13,149.9193,150.0692,149.7694,149.9193,1000000
2025-06-14,150.4063,150.5567,150.2559,150.4063,1000000
2025-06-15,146.2066,146.3528,146.0604,146.2066,1000000
2025-06-16,146.6407,146.7873,146.494,146.6407,1000000
2025-06-17,150.2412,150.3914,150.0909,150.2412,1000000
2025-06-18,144.2682,144.4125,144.124,144.2682,1000000
2025-06-19,143.1353,143.2784,142.9921,143.1353,1000000
2025-06-20,136.1531,136.2893,136.017,136.1531,1000000
2025-06-21,132.9034,133.0363,132.7705,132.9034,1000000
2025-06-22,128.063,128.191,127.9349,128.063,1000000
2025-06-23,130.2149,130.3451,130.0847,130.2149,1000000
2025-06-24,128.0448,128.1729,127.9168,128.0448,1000000
2025-06-25,132.1921,132.3243,132.06,132.1921,1000000
2025-06-26,135.357,135.4924,135.2217,135.357,1000000
2025-06-27,136.69,136.8267,136.5533,136.69,1000000
2025-06-28,128.5285,128.6571,128.4,128.5285,1000000
2025-06-29,129.4329,129.5624,129.3035,129.4329,1000000
2025-06-30,132.1356,132.2677,132.0035,132.1356,1000000
2025-07-01,135.1316,135.2667,134.9964,135.1316,1000000
2025-07-02,131.1056,131.2367,130.9745,131.1056,1000000
2025-07-03,131.8764,132.0083,131.7445,131.8764,1000000
2025-07-04,130.559,130.6895,130.4284,130.559,1000000
2025-07-05,130.1102,130.2403,129.98,130.1102,1000000
2025-07-06,137.2147,137.3519,137.0774,137.2147,1000000
2025-07-07,135.7322,135.8679,135.5965,135.7322,1000000
2025-07-08,137.6482,137.7858,137.5105,137.6482,1000000
2025-07-09,143.1829,143.3261,143.0397,143.1829,1000000
2025-07-10,141.6829,141.8246,141.5412,141.6829,1000000
2025-07-11,142.4224,142.5648,142.2799,142.4224,1000000
2025-07-12,144.0106,144.1546,143.8666,144.0106,1000000
2025-07-13,145.171,145.3162,145.0258,145.171,1000000
2025-07-14,140.6211,140.7617,140.4805,140.6211,1000000
2025-07-15,142.3144,142.4567,142.172,142.3144,1000000
2025-07-16,149.4098,149.5592,149.2603,149.4098,1000000
2025-07-17,142.7179,142.8606,142.5751,142.7179,1000000
2025-07-18,147.5425,147.69,147.3949,147.5425,1000000
2025-07-19,148.4391,148.5875,148.2906,148.4391,1000000
2025-07-20,145.8385,145.9843,145.6926,145.8385,1000000
2025-07-21,155.5135,155.669,155.358,155.5135,1000000
2025-07-22,158.2515,158.4098,158.0933,158.2515,1000000
2025-07-23,151.4377,151.5891,151.2863,151.4377,1000000
2025-07-24,151.5596,151.7112,151.4081,151.5596,1000000
2025-07-25,153.9654,154.1194,153.8115,153.9654,1000000
2025-07-26,152.4979,152.6504,152.3454,152.4979,1000000
2025-07-27,155.2693,155.4245,155.114,155.2693,1000000
2025-07-28,154.1593,154.3134,154.0051,154.1593,1000000
2025-07-29,156.6323,156.789,156.4757,156.6323,1000000
2025-07-30,162.482,162.6444,162.3195,162.482,1000000
2025-07-31,157.324,157.4813,157.1667,157.324,1000000
2025-08-01,157.1578,157.315,157.0007,157.1578,1000000
2025-08-02,153.9086,154.0625,153.7547,153.9086,1000000
2025-08-03,153.9024,154.0563,153.7485,153.9024,1000000
2025-08-04,147.9464,148.0944,147.7985,147.9464,1000000
2025-08-05,145.6984,145.8441,145.5527,145.6984,1000000
2025-08-06,145.4769,145.6224,145.3315,145.4769,1000000
2025-08-07,150.1407,150.2909,149.9906,150.1407,1000000
2025-08-08,155.3669,155.5222,155.2115,155.3669,1000000
2025-08-09,148.5335,148.682,148.3849,148.5335,1000000
2025-08-10,145.2483,145.3936,145.1031,145.2483,1000000
2025-08-11,148.8115,148.9603,148.6627,148.8115,1000000
2025-08-12,140.3446,140.485,140.2043,140.3446,1000000
2025-08-13,139.7963,139.9361,139.6565,139.7963,1000000
2025-08-14,140.8696,141.0105,140.7288,140.8696,1000000
2025-08-15,147.6678,147.8155,147.5202,147.6678,1000000
2025-08-16,151.1085,151.2596,150.9574,151.1085,1000000
2025-08-17,149.4672,149.6167,149.3178,149.4672,1000000
2025-08-18,147.9026,148.0505,147.7546,147.9026,1000000
2025-08-19,147.107,147.2541,146.9599,147.107,1000000
2025-08-20,154.4371,154.5916,154.2827,154.4371,1000000
