Date,Open,High,Low,Close,Volume
2025-06-01,100.0237,100.1237,99.9237,100.0237,1000000
2025-06-02,100.5777,100.6783,100.4771,100.5777,1000000
2025-06-03,101.0805,101.1816,100.9794,101.0805,1000000
2025-06-04,100.8843,100.9851,100.7834,100.8843,1000000
2025-06-05,100.7741,100.8749,100.6733,100.7741,1000000
2025-06-06,100.5716,100.6722,100.471,100.5716,1000000
2025-06-07,100.8109,100.9117,100.71,100.8109,1000000
2025-06-08,100.7983,100.8991,100.6975,100.7983,1000000
2025-06-09,101.1095,101.2107,101.0084,101.1095,1000000
2025-06-10,100.3725,100.4729,100.2722,100.3725,1000000
2025-06-11,101.0115,101.1125,100.9105,101.0115,1000000
2025-06-12,100.9827,101.0836,100.8817,100.9827,1000000
2025-06-13,101.2676,101.3688,101.1663,101.2676,1000000
2025-06-14,101.2224,101.3236,101.1212,101.2224,1000000
2025-06-15,101.079,101.1801,100.9779,101.079,1000000
2025-06-16,101.2764,101.3776,101.1751,101.2764,1000000
2025-06-17,101.6205,101.7221,101.5189,101.6205,1000000
2025-06-18,101.5483,101.6499,101.4468,101.5483,1000000
2025-06-19,101.4964,101.5979,101.3949,101.4964,1000000
2025-06-20,101.785,101.8868,101.6832,101.785,1000000
2025-06-21,101.4408,101.5422,101.3394,101.4408,1000000
2025-06-22,100.8365,100.9373,100.7356,100.8365,1000000
2025-06-23,101.0059,101.1069,100.9049,101.0059,1000000
2025-06-24,100.745,100.8458,100.6443,100.745,1000000
2025-06-25,99.9813,100.0812,99.8813,99.9813,1000000
2025-06-26,99.6657,99.7654,99.566,99.6657,1000000
2025-06-27,99.4892,99.5887,99.3898,99.4892,1000000
2025-06-28,99.0244,99.1234,98.9253,99.0244,1000000
2025-06-29,98.4431,98.5415,98.3446,98.4431,1000000
2025-06-30,98.4674,98.5658,98.3689,98.4674,1000000
2025-07-01,98.8306,98.9294,98.7318,98.8306,1000000
2025-07-02,98.7483,98.8471,98.6496,98.7483,1000000
2025-07-03,98.4645,98.563,98.366,98.4645,1000000
2025-07-04,98.626,98.7246,98.5273,98.626,1000000
2025-07-05,98.9188,99.0177,98.8199,98.9188,1000000
2025-07-06,98.81,98.9088,98.7112,98.81,1000000
2025-07-07,99.0351,99.1342,98.9361,99.0351,1000000
2025-07-08,99.4582,99.5576,99.3587,99.4582,1000000
2025-07-09,99.3858,99.4852,99.2864,99.3858,1000000
2025-07-10,99.0723,99.1714,98.9732,99.0723,1000000
2025-07-11,99.22,99.3192,99.1208,99.22,1000000
2025-07-12,99.3281,99.4275,99.2288,99.3281,1000000
2025-07-13,99.7746,99.8744,99.6749,99.7746,1000000
